"2001","0","14","0","14","14","19","16","0","4","8","0","4","17","16","0","0","0","9","17","6","0","0","0","0","0","5","0","3","2","0","0","4","0","12","0","13","14","0","4","0","0","2","4","7","5","0","14","3","0","0","6"
"2002","0","0","0","0","0","0","0","0","0","0","0","0","2","8","13","0","0","19","0","15","0","0","0","0","8","0","0","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","5","0","0"
"2003","0","0","0","0","0","0","0","0","0","0","0","0","0","16","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","6","0","0","0","0","2","0","9","1","0","0","0","13"
"2004","0","0","14","0","0","0","0","0","13","0","2","0","0","8","0","18","0","16","0","4","19","0","0","13","0","0","0","0","0","18","0","8","0","0","0","0","0","13","0","6","0","0","6","14","15","0","0","0","16","0","16"
"2005","0","0","8","17","0","2","14","0","0","0","12","17","0","2","0","4","0","11","0","0","0","0","4","0","0","0","0","0","10","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0"
"2006","0","0","19","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","1","0","18","0","0","7","0","0","0","5","0","8","0","0","0","0","0"
"2007","0","0","0","6","0","2","0","0","0","0","0","1","0","0","17","15","8","0","0","11","0","15","5","6","12","0","0","0","0","4","17","0","13","0","16","0","10","7","9","0","8","0","18","16","0","1","4","16","18","0","2"
"2008","4","8","2","19","2","12","0","0","11","15","0","0","5","0","14","12","0","7","13","0","16","15","19","5","0","0","0","1","0","0","10","0","15","12","0","8","0","0","0","4","0","0","0","0","17","0","1","0","0","10","8"
"2009","0","1","5","0","7","7","0","0","0","0","0","0","14","0","0","0","0","14","0","5","6","9","0","0","0","0","0","0","10","7","0","0","0","0","8","0","0","3","0","0","0","0","0","0","0","1","0","0","9","0","4"
"2010","0","3","18","6","17","10","0","5","5","2","19","0","11","0","1","5","0","9","0","2","18","0","0","0","13","7","3","0","0","1","15","13","0","9","19","0","0","13","0","0","0","10","0","0","14","2","13","0","0","6","6"
"2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0"
"2012","0","0","6","0","2","11","14","15","19","10","0","0","3","0","19","0","7","12","10","9","2","3","3","19","0","8","9","2","4","10","8","11","0","0","6","0","0","0","1","0","13","0","16","7","9","15","1","0","8","11","0"
"2013","0","0","0","5","0","5","0","0","0","0","12","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","18","0","0","2","0","0","0","0","19","0","13","19","0","0","0","0","0","5","0","0","17","0","0"
"2014","3","0","13","0","4","5","0","4","0","0","15","0","0","18","0","0","17","0","14","0","0","3","12","0","0","0","0","1","5","7","0","0","19","0","0","0","0","7","0","0","0","5","10","0","11","0","5","0","0","0","19"
"2015","0","0","0","0","0","17","13","13","0","0","0","0","19","6","8","14","6","0","11","0","0","0","4","16","7","16","0","0","16","15","0","0","14","0","13","0","0","8","0","8","0","0","18","9","0","0","0","0","10","18","12"
"2016","0","17","17","7","4","0","0","0","0","0","19","0","4","0","18","0","0","0","17","0","17","11","19","3","0","3","0","14","0","0","9","15","0","0","3","0","2","0","10","0","0","0","0","18","16","0","0","12","4","0","0"
"2017","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"2018","0","1","0","0","0","0","1","0","0","0","5","0","0","0","0","0","13","16","0","2","0","0","7","8","0","1","0","0","1","13","0","4","0","0","4","0","0","2","0","0","19","0","0","0","0","12","0","0","3","0","10"
"2019","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","0","0","10","6","6","13","0","2","0","10","0","5","1","6","11","4","2","0","9","14","0","0","13","11","0","10","19","0","0","4","15","6","16","19","0","0","12","19","0","0","18","12","7","0","2","1","4","10","0","2","0"
"2021","0","0","0","0","0","0","0","0","6","5","0","3","0","0","16","0","0","0","0","0","6","0","0","4","8","0","0","4","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0"
"2022","0","4","17","0","0","15","0","0","0","0","19","0","14","0","0","0","0","0","3","5","0","0","0","0","2","0","0","17","0","0","19","0","0","0","0","1","8","0","0","0","0","0","12","0","13","0","10","0","0","0","0"
"2023","0","5","7","7","3","4","0","0","0","5","2","0","0","0","0","0","0","14","0","0","9","4","0","0","0","0","14","15","15","15","6","19","6","0","0","1","0","0","2","8","13","3","0","0","0","0","10","5","7","0","0"
"2024","0","0","0","0","13","5","0","8","0","0","0","0","0","0","19","16","16","4","0","0","9","10","4","13","0","18","0","0","4","0","18","0","0","15","0","19","0","0","0","6","8","15","0","0","0","0","19","0","0","0","12"
"2025","0","13","8","5","0","8","17","0","0","0","1","0","1","0","0","0","0","3","4","8","4","1","8","0","0","9","10","15","17","19","0","3","10","0","0","13","0","0","0","0","16","2","1","0","0","0","15","19","0","10","0"
"2026","0","0","0","0","5","3","0","0","0","0","0","13","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","13","0","0","12","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0"
"2027","3","0","16","0","0","0","0","0","0","4","0","0","1","9","12","6","0","0","17","2","0","14","0","19","0","4","0","4","19","18","0","2","13","1","0","0","0","18","3","12","1","0","19","0","18","2","17","0","10","0","17"
